repo,workflow_security_guard,hook_security_guard,hook_pre_commit,workflow_hook_audit,all_coverage
4sgm,Y,Y,Y,Y,Y
AgilePlus,Y,Y,Y,Y,Y
agent-devops-setups,Y,Y,Y,Y,Y
agentapi-plusplus,Y,Y,Y,Y,Y
agentapi-plusplus-composite-actions,Y,Y,Y,Y,Y
agentapi-plusplus-governance,Y,Y,Y,Y,Y
bifrost-extensions,Y,Y,Y,Y,Y
bifrost-extensions-composite-actions,Y,Y,Y,Y,Y
bifrost-extensions-governance,Y,Y,Y,Y,Y
civ,Y,Y,Y,Y,Y
cliproxyapi++,Y,Y,Y,Y,Y
cliproxyapi++-composite-actions,Y,Y,Y,Y,Y
cliproxyapi-plusplus,Y,Y,Y,Y,Y
colab,Y,Y,Y,Y,Y
helMo,Y,Y,Y,Y,Y
helios-cli,Y,Y,Y,Y,Y
heliosApp,Y,Y,Y,Y,Y
heliosApp-colab,Y,Y,Y,Y,Y
heliosApp-composite-actions,Y,Y,Y,Y,Y
heliosApp-governance,Y,Y,Y,Y,Y
heliosCLI,Y,Y,Y,Y,Y
heliosCLI-composite-actions,Y,Y,Y,Y,Y
heliosCLI-upstream,Y,Y,Y,Y,Y
parpour,Y,Y,Y,Y,Y
phench,Y,Y,Y,Y,Y
phenodocs,Y,Y,Y,Y,Y
phenotype-config,Y,Y,Y,Y,Y
phenotype-design,Y,Y,Y,Y,Y
phenotypeActions,Y,Y,Y,Y,Y
portage,Y,Y,Y,Y,Y
portage-composite-actions,Y,Y,Y,Y,Y
portage-governance,Y,Y,Y,Y,Y
template-commons,Y,Y,Y,Y,Y
template-domain-service-api,Y,Y,Y,Y,Y
template-domain-webapp,Y,Y,Y,Y,Y
template-lang-elixir-hex,Y,Y,Y,Y,Y
template-lang-go,Y,Y,Y,Y,Y
template-lang-kotlin,Y,Y,Y,Y,Y
template-lang-mojo,Y,Y,Y,Y,Y
template-lang-python,Y,Y,Y,Y,Y
template-lang-rust,Y,Y,Y,Y,Y
template-lang-swift,Y,Y,Y,Y,Y
template-lang-typescript,Y,Y,Y,Y,Y
template-lang-zig,Y,Y,Y,Y,Y
template-program-ops,Y,Y,Y,Y,Y
thegent,Y,Y,Y,Y,Y
thegent-composite-actions,Y,Y,Y,Y,Y
tokenledger,Y,Y,Y,Y,Y
trace,Y,Y,Y,Y,Y
trash-cli,Y,Y,Y,Y,Y
